code,country,year,gdp,infrate,trade,schooling,invest60,invest70,invest80,industry
1,USA,1960,2879,,9.693181,43.799999,,,,
1,USA,1961,2929,1.075182,9.4446545,,,,,
1,USA,1962,3103,1.116071,9.4293242,,,,,
1,USA,1963,3227,1.214128,9.470706,,,,,
1,USA,1964,3420,1.308615,9.7258787,,,,,
1,USA,1965,3667,1.668461,9.7303467,43.799999,,,,
1,USA,1966,3974,2.9909999,10.097592,,,,,
1,USA,1967,4154,2.775636,10.208102,,,,,
1,USA,1968,4494,4.217721,10.593937,,,,,
1,USA,1969,4805,5.414701,10.635633,,,,,
1,USA,1970,4999,5.8952961,11.388641,44.400002,,,,
1,USA,1971,5362,4.255929,11.367576,,,,,34.508629
1,USA,1972,5838,3.3056149,11.967158,,,,,34.44429
1,USA,1973,6464,6.2200642,13.713565,,,,,34.37521
1,USA,1974,6951,11.03526,17.316135,,,,,34.03606
1,USA,1975,7519,9.1319304,16.37969,42.599998,,,,33.22567
1,USA,1976,8300,5.7370272,16.873659,,,,,33.760849
1,USA,1977,9146,6.4864602,17.220591,,,,,34.264641
1,USA,1978,10229,7.6474638,17.80619,,,,,34.037231
1,USA,1979,11306,11.26604,19.280546,,,,,33.62648
1,USA,1980,12186,13.50937,21.081579,62.900002,0.23884,0.24568,22.375999,33.514389
1,USA,1981,13533,10.31553,20.363241,,,,,34.08828
1,USA,1982,13940,6.1606159,18.471621,,,,,32.909691
1,USA,1983,15008,3.212435,17.624308,,,,,31.497219
1,USA,1984,16549,4.3172688,18.577013,,,,,31.87278
1,USA,1985,17600,3.561116,17.642408,57.400002,,,,30.864519
1,USA,1986,18439,1.858736,17.954124,,,,,29.44326
1,USA,1987,19407,3.740876,19.116186,,,,,29.19973
1,USA,1988,20711,4.009088,20.330818,,,,,29.606489
1,USA,1989,22047,4.827003,20.730293,,,,,28.61904
1,USA,1990,23064,5.3979559,21.18795,44.400002,,,,27.850321
1,USA,1991,23507,4.2349639,21.26635,,,,,26.62006
1,USA,1992,24509,3.02882,21.54221,,,,,25.72843
1,USA,1993,25409,2.9516571,21.55765,,,,,25.61001
1,USA,1994,26670,2.6074419,22.618219,,,,,26.082951
1,USA,1995,27574,2.8054199,24.273979,44.599998,,,,26.29285
1,USA,1996,28814,2.9312041,24.58247,,,,,25.7854
1,USA,1997,30262,2.3376901,25.591539,,,,,25.384291
1,USA,1998,31519,1.552279,24.690569,,,,,25.018841
1,USA,1999,33028,2.1880269,,,,,,24.72505
1,USA,2000,34603,3.376857,,39.599998,,,,24.443489
1,USA,2001,35341,2.8261709,,,,,,23.04858
1,USA,2002,36180,1.586032,,,,,,
1,USA,2003,37548,2.2700951,,,,,,
2,UK,1960,2158,,43.25547,24.5,,,,
2,UK,1961,2216,3.5794179,41.533241,,,,,
2,UK,1962,2276,4.103672,40.404633,,,,,
2,UK,1963,2386,2.0746889,40.406586,,,,,
2,UK,1964,2534,3.2113819,40.518764,,,,,
2,UK,1965,2660,4.8050408,39.225338,26.5,,,,
2,UK,1966,2794,3.9083049,38.964634,,,,,
2,UK,1967,2923,2.423146,39.313187,,,,,
2,UK,1968,3173,4.731638,43.665131,,,,,
